! recostruction matrix elements for HMS, tune HMS-100
! <theta y phi delta | nmpq>;(x**n xp**m y**p yp**q)
! as of 02/20/97, no z offset included: this statement is obsolete
! created: 06/28/98
! zeroth order matrix elements from fitting:
! <theta|> -4.7276368293E-03 rad
! <y|> -1.1606458055E-04 m
! <phi|>  4.8280702357E-05 rad 
! <p|> -3.8725980576E-03 %
! <theta y phi delta | nmpq>;(x**n xp**m y**p yp**q)
!   For xptar include xtar correction from SIMC COSY file
!   fitted new xptar using the xtar correction with xtar mztrix fixed
!   fitted new ytar and yptar for extended target
!   May 15th , 2009 , 3rd iteration of xptar fit
 ---------------------------------------------------------------------
   -0.00343320596 -8.55129322e-05  0.000273135681               0 00000
       29.4261365     0.170253615     -48.3337403               0 30300
       107.714035      712.407886     -230.254362               0 21300
      -527.652367     -2683.77247      896.251193               0 12300
      -187.798241     -1078.60227      362.801764               0 03300
       43.0498385      -139.38829      42.5518511               0 20400
       63.7419856      84.3634128     -170.337056               0 11400
      -441.209125      176.900335     -11.3166691               0 02400
       22.9568455     -275.035969      112.041099               0 10500
       196.796138     -1589.13455      359.455993               0 01500
      -70.5423547      140.892263     -31.7777075               0 00600
      -373.749644      325.618255     -50.7019389               0 50010
       3133.87017     -2819.78645      67.8094532               0 41010
       823.106505      -677.94773     -26.0056895               0 32010
        168.58507     -180.891769      8.36582627               0 23010
       32.7545847     -45.6416856      5.53765005               0 14010
       6.32851231     -10.7755843       1.8415295               0 05010
        12.789305     -1035.05187       136.19395               0 40110
      -326.121242      763.223811     -178.791928               0 31110
      -199.810737      308.950392     -49.3510109               0 22110
      -48.0854728      73.7565284     -9.66430433               0 13110
      -9.40388609      15.6774031     -1.66560802               0 04110
      -268.622706     -515.835824      627.987384               0 30210
      -76.3958092      590.620214     -157.557661               0 21210
      -40.9117832      46.9782647     -22.9289444               0 12210
      -10.5314451     -24.8588204      4.96993621               0 03210
       -318.43241      824.526489       10.700446               0 20310
      -126.422272      310.005241     -86.3627331               0 11310
      -67.8221629      89.4585996     -14.0620333               0 02310
      -713.820105      6377.74064     -1671.91826               0 10410
      -60.2685655       1054.5444     -299.042458               0 01410
       372.285001      -1185.7916       500.22768               0 00510
        383.69492      5118.30344     -667.520609               0 40020
       90.6686952       1054.6271     -203.436307               0 31020
       6.44467924       187.02172     -37.8070045               0 22020
      0.870083325      32.3533734     -6.47813762               0 13020
       0.24607587      5.72423399     -1.08876986               0 04020
      -333.975692     -1198.83434      560.774152               0 30120
      -6.33300413     -52.4830629      28.9275199               0 21120
       1.74239699      5.10379631     -2.81661686               0 12120
      0.540780299      -1.9377456    0.0571914676               0 03120
       15.2622634      428.922718     -105.511643               0 20220
      -1.51638911      80.3850465     -23.6017542               0 11220
      -3.38466744      17.6054924      -3.4629664               0 02220
      -119.147446      986.918901     -238.439095               0 10320
       2.15475425      164.673097     -45.3773345               0 01320
       97.6723655      46.1018152     -6.94153816               0 00420
      -16.5032387     -287.779035      111.006599               0 30030
       4.17238296     -17.6998534       6.7596212               0 21030
       1.49701119      1.46678147    -0.780473062               0 12030
      0.346840759     0.142753194    -0.158503212               0 03030
       1.07172898      94.4691769     -43.0971823               0 20130
     -0.290659528       15.710862     -6.33868385               0 11130
     -0.295573884      3.17687034     -0.87456121               0 02130
      -17.8060081      81.5237698     -11.8588191               0 10230
       0.60232529      17.6665509     -4.20031528               0 01230
       13.0590874      35.6275232     -19.8724642               0 00330
     -0.144373053      18.5213033     -10.5245836               0 20040
      0.172332939      3.87959106     -1.63874101               0 11040
      0.040406234     0.767024755    -0.237797167               0 02040
      -2.71463749      1.85301393      2.02271564               0 10140
    0.00690517255     0.454674102     0.170862362               0 01140
       1.36960777      7.41485357     -4.89163381               0 00240
     -0.094972569      1.22182693   -0.0614749333               0 10050
     0.0185634706   -0.0235324373    0.0552201004               0 01050
     0.0755732351     0.955947782    -0.883354353               0 00150
    -0.0106133623    0.0800209936    -0.144831943               0 00060
      -221.978975               0               0               0 50001
       2081.48433               0               0               0 41001
      -430.560936               0               0               0 32001
      -218.050288               0               0               0 23001
      -55.5844501               0               0               0 14001
      -11.3642568               0               0               0 05001
       108.432463               0               0               0 40101
      -931.864934               0               0               0 31101
      -192.977158               0               0               0 22101
      -28.6473383               0               0               0 13101
      -3.41017534               0               0               0 04101
       61.3278498               0               0               0 30201
      -43.6289186               0               0               0 21201
      -47.1521819               0               0               0 12201
       -14.919883               0               0               0 03201
       58.8310901               0               0               0 20301
       -36.337865               0               0               0 11301
